target,seed,auc
ETRI,0,0.599095394736842
ETRI,1,0.581531954887218
ETRI,2,0.5624412593984962
EMT,0,0.5302384561567164
EMT,1,0.5471179259950248
EMT,2,0.5343973491915424
uniD,0,0.4577751549925111
uniD,1,0.43970022090647676
uniD,2,0.4542770630574231
exiD,0,0.48802115804168095
exiD,1,0.4662852237557768
exiD,2,0.4772218182407121
