target,horizon,feature,auc
EMT,7,lat_offset_norm,0.435
EMT,7,abs_lat_speed_max5,0.5614
EMT,7,nash_urgency,0.5598
EMT,7,ego_speed,0.5559
EMT,7,ego_speed_slope5,0.5552
EMT,7,lane_id,0.5538
EMT,7,ego_acc,0.5516
EMT,7,lat_offset,0.5511
EMT,7,ego_speed_mean5,0.5434
EMT,7,payoff_gap,0.5433
EMT,7,ego_speed_std5,0.5409
EMT,7,dhw,0.5396
EMT,7,payoff_lc_max,0.5393
EMT,7,risk_x_gapdiff,0.5363
EMT,7,ttc_slope5,0.5358
EMT,7,stackelberg_nash_gap,0.5349
EMT,7,threat_asymmetry,0.4652
EMT,7,speed_ratio,0.5337
EMT,7,thw,0.5335
EMT,7,lat_drift_x_vosdiff,0.5308
EMT,7,stackelberg_advantage,0.53
EMT,7,lat_speed,0.5299
EMT,7,lat_offset_slope5,0.5299
EMT,7,ttc_x_speed,0.5282
EMT,7,nash_lc_prob,0.5278
EMT,7,nash_lk_prob,0.5278
EMT,7,ttc,0.5259
EMT,7,gap_right_back,0.5223
EMT,7,ttc_min5,0.5213
EMT,7,gap_left_front,0.4787
EMT,7,gap_right_front,0.5194
EMT,7,stackelberg_lc_payoff,0.5154
EMT,7,gap_diff,0.5147
EMT,7,payoff_lk,0.5124
EMT,7,stackelberg_lk_payoff,0.5124
EMT,7,lat_drift,0.4883
EMT,7,vos_right,0.5101
EMT,7,ego_best_action,0.4909
EMT,7,vos_left,0.5084
EMT,7,vos_diff,0.5072
EMT,7,lat_acc,0.5056
EMT,7,preceding_vx,0.5054
EMT,7,lat_speed_std5,0.4966
EMT,7,strategic_commitment,0.5024
EMT,7,gap_left_back,0.4994
EMT,7,lat_speed_x_gapdiff,0.5001
EMT,7,follower_best_response,0.5
