horizon,model,in_domain,ETRI_OOD
3s,XGBoost,0.839,0.6054
3s,LightGBM,0.8394,0.6553
3s,BiLSTM-Att,0.6139,0.6536
5s,XGBoost,0.8245,0.5384
5s,LightGBM,0.8234,0.5279
5s,BiLSTM-Att,0.6286,0.5543
7s,XGBoost,0.8014,0.619
7s,LightGBM,0.8056,0.5859
7s,BiLSTM-Att,0.6156,0.6129
