featset,n_feats,in_domain,OOD_ETRI,OOD_EMT,OOD_uniD,OOD_exiD,OOD_mean
KIN only,34,0.8811,0.4699,0.5969,0.5163,0.4956,0.5197
KIN+GT_abs,48,0.8816,0.4705,0.5988,0.5163,0.4814,0.5167
KIN+GT_di,48,0.8816,0.4659,0.5953,0.5066,0.4933,0.5153
GT_di only,14,0.6493,0.5028,0.5526,0.5893,0.5348,0.5449
