,highD,NGSIM,MiTra,ETRI,EMT,uniD,exiD
highD,0.9975490196078431,0.0016339869281045752,0.0008169934640522876,0.0,0.0,0.0,0.0
NGSIM,0.0,0.9992236024844721,0.0007763975155279503,0.0,0.0,0.0,0.0
MiTra,0.0032599837000814994,0.0,0.9942950285248574,0.0008149959250203749,0.0008149959250203749,0.0,0.0008149959250203749
ETRI,0.0,0.04054054054054054,0.0,0.9324324324324325,0.02702702702702703,0.0,0.0
EMT,0.0,0.0,0.0,0.0,0.9976525821596244,0.0,0.002347417840375587
uniD,0.0,0.0,0.0,0.0,0.0,1.0,0.0
exiD,0.0,0.003316749585406302,0.001658374792703151,0.0,0.0,0.0,0.9950248756218906
