model,in_domain,OOD_ETRI,OOD_EMT,OOD_uniD,OOD_exiD,OOD_mean
LogReg,0.6027,0.5032,0.511,0.5554,0.5125,0.5205
RandomForest,0.8611,0.4995,0.59,0.5891,0.4645,0.5358
