eval_set,mean,sample_sd,population_sd
ETRI,0.4867246240601504,0.0076362781954887,0.0062349950376294
exiD,0.464962119988185,0.0184136371136243,0.0150346717457181
source_test,0.8699885223154326,0.0014650298514199,0.0011961918646414
target_macro,0.4914284226880232,0.0171339303682962,0.0139897955635676
target_pooled,0.4765103980509272,0.0183074531154251,0.0149479728742392
uniD,0.5225985240157344,0.0277948413973595,0.0226943929683725
