protocol,eval_set,seed,fraction,continuation,target_only,gain
A2_physical_recording,exiD,0,0.1,0.9669931921493372,0.9773240738808068,-0.0103308817314696
A2_physical_recording,exiD,0,0.2,0.9710929525552482,0.9776265238862244,-0.006533571330976
A2_physical_recording,exiD,0,0.4,0.9746188387596424,0.9809616910672244,-0.006342852307582
A2_physical_recording,exiD,0,0.6,0.9772570004629856,0.9821113469439804,-0.0048543464809948
A2_physical_recording,exiD,0,1.0,0.9780362500518076,0.982855597832355,-0.0048193477805473
A2_physical_recording,exiD,1,0.1,0.9636322807568992,0.9666743744735816,-0.0030420937166825
A2_physical_recording,exiD,1,0.2,0.9651200608184975,0.9715067613165976,-0.0063867004980999
A2_physical_recording,exiD,1,0.4,0.9651213495322454,0.9714975380222752,-0.0063761884900299
A2_physical_recording,exiD,1,0.6,0.966066418768092,0.9710142154217296,-0.0049477966536378
A2_physical_recording,exiD,1,1.0,0.9689025255782456,0.9717590669928252,-0.0028565414145795
A2_physical_recording,exiD,42,0.1,0.9795211338370132,0.987963357105185,-0.0084422232681716
A2_physical_recording,exiD,42,0.2,0.9805215203721024,0.9890548224510226,-0.0085333020789202
A2_physical_recording,exiD,42,0.4,0.9835892478728728,0.9899318437238748,-0.006342595851002
A2_physical_recording,exiD,42,0.6,0.9843136627916158,0.9900156193110992,-0.0057019565194833
A2_physical_recording,exiD,42,1.0,0.9846812066797592,0.9905872657385312,-0.0059060590587719
A2_recording,ETRI,0,0.1,0.5216049382716049,0.6944444444444444,-0.1728395061728395
A2_recording,ETRI,0,0.2,0.5185185185185185,0.54320987654321,-0.0246913580246914
A2_recording,ETRI,0,0.4,0.5185185185185185,0.6929012345679013,-0.1743827160493828
A2_recording,ETRI,0,0.6,0.5277777777777778,0.6388888888888888,-0.111111111111111
A2_recording,ETRI,0,1.0,0.5432098765432098,0.6388888888888888,-0.095679012345679
A2_recording,ETRI,1,0.1,0.5216049382716049,0.5,0.0216049382716049
A2_recording,ETRI,1,0.2,0.478395061728395,0.5339506172839505,-0.0555555555555555
A2_recording,ETRI,1,0.4,0.5246913580246914,0.5771604938271605,-0.0524691358024691
A2_recording,ETRI,1,0.6,0.5802469135802469,0.6203703703703705,-0.0401234567901235
A2_recording,ETRI,1,1.0,0.5925925925925926,0.5339506172839505,0.058641975308642
A2_recording,ETRI,42,0.1,0.3471074380165289,0.6229338842975207,-0.2758264462809918
A2_recording,ETRI,42,0.2,0.3512396694214876,0.6632231404958677,-0.31198347107438
A2_recording,ETRI,42,0.4,0.4256198347107438,0.8057851239669421,-0.3801652892561983
A2_recording,ETRI,42,0.6,0.4400826446280991,0.8181818181818182,-0.3780991735537191
A2_recording,ETRI,42,1.0,0.3842975206611571,0.7582644628099173,-0.3739669421487602
A2_recording,exiD,0,0.1,0.9497028997331128,0.9649365683846376,-0.0152336686515247
A2_recording,exiD,0,0.2,0.9579630583779696,0.9683752779795292,-0.0104122196015598
A2_recording,exiD,0,0.4,0.9615505021740822,0.9733941666801772,-0.011843664506095
A2_recording,exiD,0,0.6,0.9639465105732248,0.9756147603467288,-0.0116682497735037
A2_recording,exiD,0,1.0,0.965650468751836,0.9487691852542894,0.0168812834975465
A2_recording,exiD,1,0.1,0.9591920826492584,0.9686716966864176,-0.0094796140371592
A2_recording,exiD,1,0.2,0.9630922750905366,0.9732558313350176,-0.0101635562444808
A2_recording,exiD,1,0.4,0.96758581662557,0.9759525152401684,-0.0083666986145986
A2_recording,exiD,1,0.6,0.9684964520209476,0.9758958788423878,-0.0073994268214403
A2_recording,exiD,1,1.0,0.9689535408818384,0.9759117910479632,-0.0069582501661249
A2_recording,exiD,42,0.1,0.9283019664077368,0.9381137814746072,-0.0098118150668704
A2_recording,exiD,42,0.2,0.9402556366771384,0.94620119373537,-0.0059455570582316
A2_recording,exiD,42,0.4,0.9473974631039632,0.9511482151793738,-0.0037507520754106
A2_recording,exiD,42,0.6,0.949834703412516,0.9555159518872176,-0.0056812484747016
A2_recording,exiD,42,1.0,0.9555809825028324,0.9532602465949036,0.0023207359079288
A2_recording,uniD,0,0.1,0.8114195489990224,0.8484518023018492,-0.0370322533028268
A2_recording,uniD,0,0.2,0.8450845833942109,0.8767240898868958,-0.0316395064926848
A2_recording,uniD,0,0.4,0.8643995866853643,0.8962981679497395,-0.0318985812643751
A2_recording,uniD,0,0.6,0.8823307240085494,0.9035846459035308,-0.0212539218949813
A2_recording,uniD,0,1.0,0.8888132417333308,0.906381749688583,-0.0175685079552522
A2_recording,uniD,1,0.1,0.8187101914232248,0.8210929457075979,-0.0023827542843731
A2_recording,uniD,1,0.2,0.8449981638230866,0.8507207172539344,-0.0057225534308478
A2_recording,uniD,1,0.4,0.8622891068863998,0.8848125603052281,-0.0225234534188283
A2_recording,uniD,1,0.6,0.8774844803856875,0.8952015685179036,-0.017717088132216
A2_recording,uniD,1,1.0,0.8850372722534903,0.9055753742309078,-0.0205381019774175
A2_recording,uniD,42,0.1,0.8089633955456661,0.8410781569174153,-0.0321147613717491
A2_recording,uniD,42,0.2,0.830991831393843,0.875270541443233,-0.0442787100493899
A2_recording,uniD,42,0.4,0.8561417693466692,0.8885279167239091,-0.0323861473772398
A2_recording,uniD,42,0.6,0.8636335996144291,0.8917147316431577,-0.0280811320287286
A2_recording,uniD,42,1.0,0.86571910534957,0.895071585096967,-0.029352479747397
