protocol,eval_set,fraction,continuation_mean,continuation_std,continuation_population_sd,target_only_mean,target_only_std,target_only_population_sd,gain_mean,gain_std,gain_population_sd
A2_physical_recording,exiD,0.1,0.9700488689144166,0.0083735765011043,0.0068369965832884,0.9773206018198578,0.0106444917405004,0.008691191111832,-0.0072717329054412,0.0037827428472022,0.0030885966012694
A2_physical_recording,exiD,0.2,0.9722448445819496,0.0077650744057101,0.0063401567029117,0.9793960358846148,0.0089068508423974,0.0072724132596507,-0.0071511913026654,0.0011991936494024,0.0009791375146073
A2_physical_recording,exiD,0.4,0.9744431453882536,0.0092352026724105,0.0075405114061978,0.9807970242711248,0.0092182559652197,0.0075266744777185,-0.0063538788828713,1.932111205839984e-05,1.5775621935404877e-05
A2_physical_recording,exiD,0.6,0.9758790273408978,0.009201336101752,0.0075128594670473,0.9810470605589364,0.0095453059968645,0.0077937097103488,-0.0051680332180386,0.0004647459548623,0.0003794634831451
A2_physical_recording,exiD,1.0,0.9772066607699376,0.0079219857427454,0.0064682742731098,0.9817339768545704,0.0094640790473932,0.0077273881838263,-0.0045273160846329,0.001545590938484,0.0012619697167851
A2_recording,ETRI,0.1,0.4634391048532462,0.1007461787451849,0.082258910486977,0.6057927762473218,0.0983489892307928,0.0803016134446401,-0.1423536713940754,0.1510410431665421,0.1233244953252387
A2_recording,ETRI,0.2,0.4493844165561337,0.0873313602824892,0.0713057570784198,0.5801278781076761,0.0721113752748438,0.0588786913579061,-0.1307434615515423,0.1577152670516864,0.1287739763078052
A2_recording,ETRI,0.4,0.4896099037513179,0.0555029070297702,0.0453179338213568,0.6919489507873346,0.1143152899219392,0.0933380433690251,-0.2023390470360167,0.165627170412249,0.1352340183503351
A2_recording,ETRI,0.6,0.5160357786620413,0.070816039709574,0.0578210542977093,0.6924803591470258,0.1092537252666327,0.0892052931338227,-0.1764445804849845,0.1782084255746251,0.1455065701741945
A2_recording,ETRI,1.0,0.5066999965989866,0.108841342089698,0.0888685836798234,0.6437013229942522,0.1122343305997575,0.091638947197414,-0.1370013263952657,0.2192447698229672,0.179012604946739
A2_recording,exiD,0.1,0.9457323162633692,0.0158232098567683,0.0129195967473532,0.9572406821818874,0.0166693294363423,0.0136104504911314,-0.0115083659185181,0.0032304797972507,0.0026376757092113
A2_recording,exiD,0.2,0.9537703233818814,0.0119817479345311,0.0097830562220825,0.9626107676833056,0.0144191032359338,0.0117731484921838,-0.008840444301424,0.0025101269847135,0.002049510100713
A2_recording,exiD,0.4,0.9588445939678716,0.0103626183416003,0.0084610424453755,0.9668316323665732,0.0136423409955699,0.011138924778733,-0.0079870383987014,0.0040597923976889,0.0033148066119894
A2_recording,exiD,0.6,0.9607592220022294,0.0097305869096972,0.0079449909421879,0.9690088636921114,0.0116860497445942,0.0095416196610125,-0.0082496416898819,0.0030827252764159,0.0025170346481331
A2_recording,exiD,1.0,0.9633949973788356,0.0069657514121448,0.0056875122116087,0.9593137409657188,0.0145486720318663,0.0118789409710577,0.0040812564131168,0.0120168804463647,0.009811741797874
A2_recording,uniD,0.1,0.8130310453226377,0.0050692896711934,0.0041390576842616,0.8368743016422875,0.014155601644468,0.011558000343683,-0.0238432563196497,0.0187472742666136,0.0153070853404044
A2_recording,uniD,0.2,0.8403581928703802,0.0081116220675915,0.0066231116839663,0.8675717828613544,0.014611536874973,0.0119302699005149,-0.0272135899909742,0.0196554281550536,0.0160485898852718
A2_recording,uniD,0.4,0.8609434876394778,0.0042902103873911,0.0035029421127654,0.8898795483262921,0.0058608853198416,0.0047853928248601,-0.0289360606868144,0.0055588289377057,0.0045387648215988
A2_recording,uniD,0.6,0.8744829346695554,0.0097032248591293,0.007922649921452,0.8968336486881974,0.0061009409437274,0.0049813974209955,-0.022350714018642,0.0052683551696998,0.0043015939831728
A2_recording,uniD,1.0,0.879856539778797,0.0123880900690417,0.0101148331855973,0.902342903005486,0.0063100402882822,0.0051521263208987,-0.0224863632266889,0.0061288081403382,0.0050041508917481
