eval_set,unit,n_units,lo,hi,valid,point
ETRI,row,261,0.4043470991291926,0.5450660296825597,2000,0.4748590225563909
ETRI,vehicle,59,0.3902287832001099,0.5589264816359113,2000,0.4748590225563909
uniD,row,11099,0.4701645384039138,0.4916961787237576,2000,0.4811755873200384
uniD,vehicle,4168,0.4702561868735493,0.4918366810108234,2000,0.4811755873200384
exiD,row,82924,0.4764904098002135,0.4843725380632292,2000,0.4803784099270849
exiD,vehicle,21085,0.4764950246874682,0.4838775936605159,2000,0.4803784099270849
POOLED_NO_EMT,row,94284,0.4786566138660081,0.4862762902784682,2000,0.4824773577211673
POOLED_NO_EMT,vehicle,25312,0.4791575848091513,0.4859593839727386,2000,0.4824773577211673
