eval_set,feature,mean_abs_shap_log_odds
source_heldout,lat_drift_x_vosdiff,0.015692938119173
source_heldout,nash_lc_prob,0.0024295325856655
source_heldout,nash_lk_prob,0.0
source_heldout,ego_best_action,0.0371053107082843
source_heldout,payoff_lc_max,0.024814048781991
source_heldout,payoff_lk,0.0176945719867944
source_heldout,payoff_gap,0.024196958169341
source_heldout,stackelberg_lc_payoff,0.019882371649146
source_heldout,stackelberg_lk_payoff,0.0
source_heldout,stackelberg_advantage,0.0286941993981599
source_heldout,follower_best_response,0.0164501648396253
source_heldout,stackelberg_nash_gap,0.012023284099996
source_heldout,nash_urgency,0.0109900897368788
source_heldout,threat_asymmetry,0.0720997750759124
source_heldout,strategic_commitment,0.0024021009448915
uniD,ego_speed,0.0947896242141723
uniD,ego_acc,0.0795966461300849
uniD,lane_id,0.337572306394577
uniD,ttc,0.0152087807655334
uniD,thw,0.551964282989502
uniD,dhw,0.18331378698349
uniD,preceding_vx,0.0907511115074157
uniD,gap_left_front,0.1562803983688354
uniD,gap_left_back,0.2817568182945251
uniD,gap_right_front,0.0846744254231453
uniD,gap_right_back,0.0876616314053535
uniD,vos_left,0.1364374905824661
uniD,vos_right,0.0464639589190483
uniD,ego_speed_mean5,0.0583199113607406
uniD,ego_speed_std5,0.0636164024472236
uniD,ego_speed_slope5,0.0799673795700073
uniD,ttc_mean5,0.0230828467756509
uniD,ttc_min5,0.0224856585264205
uniD,ttc_slope5,0.0271503701806068
uniD,lat_offset,0.935125470161438
uniD,lat_offset_norm,0.1504561007022857
uniD,lat_speed,0.1559730619192123
uniD,lat_acc,0.0472870990633964
uniD,lat_drift,0.4494723677635193
uniD,lat_offset_slope5,0.0
uniD,lat_speed_std5,0.1481931060552597
uniD,abs_lat_speed_max5,0.1557299345731735
uniD,ttc_x_speed,0.0949983894824981
uniD,gap_diff,0.0370857007801532
uniD,speed_ratio,0.2791763246059418
uniD,vos_diff,0.021245464682579
uniD,risk_x_gapdiff,0.030028112232685
uniD,lat_speed_x_gapdiff,0.1647332310676574
uniD,lat_drift_x_vosdiff,0.0340497903525829
uniD,nash_lc_prob,0.0049893455579876
uniD,nash_lk_prob,0.0
uniD,ego_best_action,0.0190621223300695
uniD,payoff_lc_max,0.0714213773608207
uniD,payoff_lk,0.0184295624494552
uniD,payoff_gap,0.0594601295888423
uniD,stackelberg_lc_payoff,0.0247849002480506
uniD,stackelberg_lk_payoff,0.0
uniD,stackelberg_advantage,0.0294206067919731
uniD,follower_best_response,0.0408782549202442
uniD,stackelberg_nash_gap,0.0145961688831448
uniD,nash_urgency,0.0032764270436018
uniD,threat_asymmetry,0.0914712399244308
uniD,strategic_commitment,0.0021420523989945
