n,auc,ece,brier,p_one,base_rate,eval_set
15576,0.8796621877709482,0.0102080161895429,0.1414312019011658,0,0.5008988186954288,in_domain
261,0.4748590225563909,0.2801281037121312,0.3360605354913931,0,0.5095785440613027,ETRI
11099,0.4811755873200384,0.25555429636667,0.3384469393391286,0,0.5102261464996847,uniD
82924,0.4803784099270849,0.2392631659775109,0.3166546423278575,0,0.5959915102985867,exiD
94284,0.4824773577211673,0.241222023837351,0.3192737255513502,0,0.5856561028382334,POOLED_NO_EMT
